Struthio camelus,Ostrich,TC000001
Carpodectes hopkei,Black-tipped Cotinga,TC006507
Carpodectes antoniae,Yellow-billed Cotinga,TC006508
Carpodectes nitidus,Snowy Cotinga,TC006509
Xipholena punicea,Pompadour Cotinga,TC006510
Xipholena lamellipennis,White-tailed Cotinga,TC006511
Xipholena atropurpurea,White-winged Cotinga,TC006512
Gymnoderus foetidus,Bare-necked Fruitcrow,TC006513
Conioptilon mcilhennyi,Black-faced Cotinga,TC006514
Phibalura flavirostris,Swallow-tailed Cotinga,TC006515
Calyptura cristata,Kinglet Calyptura,TC006518
Neopelma pallescens,Pale-bellied Tyrant-Manakin,TC006519
Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin,TC006520
Neopelma aurifrons,Wied's Tyrant-Manakin,TC006521
Neopelma chrysolophum,Serra do Mar Tyrant-Manakin,TC006522
Neopelma sulphureiventer,Sulphur-bellied Tyrant-Manakin,TC006523
Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,TC006524
Tyranneutes virescens,Tiny Tyrant-Manakin,TC006525
Ilicura militaris,Pin-tailed Manakin,TC006526
Masius chrysopterus,Golden-winged Manakin,TC006527
Corapipo altera,White-ruffed Manakin,TC006528
Corapipo leucorrhoa,White-bibbed Manakin,TC006529
Corapipo gutturalis,White-throated Manakin,TC006530
Antilophia bokermanni,Araripe Manakin,TC006552
Antilophia galeata,Helmeted Manakin,TC006553
Chiroxiphia lanceolata,Lance-tailed Manakin,TC006554
Chiroxiphia linearis,Long-tailed Manakin,TC006555
Chiroxiphia pareola,Blue-backed Manakin,TC006556
Chiroxiphia boliviana,Yungas Manakin,TC006557
Chiroxiphia caudata,Swallow-tailed Manakin,TC006558
Xenopipo holochlora,Green Manakin,TC006559
Xenopipo uniformis,Olive Manakin,TC006560
Xenopipo flavicapilla,Yellow-headed Manakin,TC006561
Xenopipo unicolor,Jet Manakin,TC006562
Xenopipo atronitens,Black Manakin,TC006563
Machaeropterus deliciosus,Club-winged Manakin,TC006531
Machaeropterus regulus,Striped Manakin,TC006532
Machaeropterus pyrocephalus,Fiery-capped Manakin,TC006536
Dixiphia pipra,White-crowned Manakin,TC006567
Ceratopipra cornuta,Scarlet-horned Manakin,TC006573
Ceratopipra mentalis,Red-capped Manakin,TC006575
Ceratopipra erythrocephala,Golden-headed Manakin,TC006574
Ceratopipra rubrocapilla,Red-headed Manakin,TC006576
Ceratopipra chloromeros,Round-tailed Manakin,TC006577
Manacus candei,White-collared Manakin,TC006548
Manacus aurantiacus,Orange-collared Manakin,TC006549
Manacus vitellinus,Golden-collared Manakin,TC006550
Manacus manacus,White-bearded Manakin,TC006551
Heterocercus aurantiivertex,Orange-crowned Manakin,TC006564
Heterocercus flavivertex,Yellow-crowned Manakin,TC006565
Heterocercus linteatus,Flame-crowned Manakin,TC006566
Pipra aureola,Crimson-hooded Manakin,TC006570
Pipra filicauda,Wire-tailed Manakin,TC006571
Pipra fasciicauda,Band-tailed Manakin,TC006572
Lepidothrix coronata,Blue-crowned Manakin,TC006537
Lepidothrix nattereri,Snow-capped Manakin,TC006541
Lepidothrix vilasboasi,Golden-crowned Manakin,TC006542
Lepidothrix iris,Opal-crowned Manakin,TC006543
Lepidothrix suavissima,Orange-bellied Manakin,TC006545
Lepidothrix serena,White-fronted Manakin,TC006544
Lepidothrix isidorei,Blue-rumped Manakin,TC006546
Lepidothrix coeruleocapilla,Cerulean-capped Manakin,TC006547
Piprites chloris,Wing-barred Piprites,TC006578
Piprites griseiceps,Gray-headed Piprites,TC006579
Piprites pileata,Black-capped Piprites,TC006580
Tityra cayana,Black-tailed Tityra,TC006581
Tityra inquisitor,Black-crowned Tityra,TC006582
Tityra semifasciata,Masked Tityra,TC006583
Schiffornis major,Varzea Schiffornis,TC006584
Schiffornis olivacea,Olivaceous Schiffornis,TC006590
Schiffornis veraepacis,Northern Schiffornis,TC006586
Schiffornis aenea,Foothill Schiffornis,TC006591
Schiffornis stenorhyncha,Russet-winged Schiffornis,TC006587
Schiffornis turdina,Brown-winged Schiffornis,TC006592
Schiffornis virescens,Greenish Schiffornis,TC006593
Laniocera hypopyrra,Cinereous Mourner,TC006594
Laniocera rufescens,Speckled Mourner,TC006595
Iodopleura isabellae,White-browed Purpletuft,TC006596
Iodopleura fusca,Dusky Purpletuft,TC006597
Iodopleura pipra,Buff-throated Purpletuft,TC006598
Laniisoma elegans,Shrike-like Cotinga,TC006599
Xenopsaris albinucha,White-naped Xenopsaris,TC006600
Pachyramphus viridis,Green-backed Becard,TC006601
Pachyramphus versicolor,Barred Becard,TC006604
Pachyramphus spodiurus,Slaty Becard,TC006605
Pachyramphus rufus,Cinereous Becard,TC006606
Pachyramphus cinnamomeus,Cinnamon Becard,TC006607
Pachyramphus castaneus,Chestnut-crowned Becard,TC006608
Pachyramphus polychopterus,White-winged Becard,TC006609
Pachyramphus albogriseus,Black-and-white Becard,TC006610
Pachyramphus major,Gray-collared Becard,TC006611
Pachyramphus marginatus,Black-capped Becard,TC006612
Pachyramphus surinamus,Glossy-backed Becard,TC006613
Pachyramphus aglaiae,Rose-throated Becard,TC006614
Pachyramphus niger,Jamaican Becard,TC006615
Pachyramphus homochrous,One-colored Becard,TC006616
Pachyramphus minor,Pink-throated Becard,TC006617
Pachyramphus validus,Crested Becard,TC006618
Menura alberti,Albert's Lyrebird,TC006620
Menura novaehollandiae,Superb Lyrebird,TC006621
Atrichornis rufescens,Rufous Scrub-bird,TC006622
Atrichornis clamosus,Noisy Scrub-bird,TC006623
Ailuroedus buccoides,White-eared Catbird,TC006624
Ailuroedus melanotis,Spotted Catbird,TC006625
Ailuroedus crassirostris,Green Catbird,TC006626
Scenopoeetes dentirostris,Tooth-billed Catbird,TC006627
Archboldia papuensis,Archbold's Bowerbird,TC006628
Archboldia sanfordi,Sanford's Bowerbird,TC006629
Amblyornis inornata,Vogelkop Bowerbird,TC006630
Amblyornis macgregoriae,Macgregor's Bowerbird,TC006631
Amblyornis subalaris,Streaked Bowerbird,TC006632
Amblyornis flavifrons,Golden-fronted Bowerbird,TC006633
Amblyornis newtoniana,Golden Bowerbird,TC006634
Sericulus aureus,Flame Bowerbird,TC006635
Sericulus bakeri,Fire-maned Bowerbird,TC006636
Sericulus chrysocephalus,Regent Bowerbird,TC006637
Ptilonorhynchus violaceus,Satin Bowerbird,TC006638
Chlamydera guttata,Western Bowerbird,TC006639
Chlamydera maculata,Spotted Bowerbird,TC006640
Chlamydera nuchalis,Great Bowerbird,TC006641
Chlamydera lauterbachi,Yellow-breasted Bowerbird,TC006642
Chlamydera cerviniventris,Fawn-breasted Bowerbird,TC006643
Cormobates placens,Papuan Treecreeper,TC006644
Cormobates leucophaea,White-throated Treecreeper,TC006645
Climacteris affinis,White-browed Treecreeper,TC006648
Climacteris erythrops,Red-browed Treecreeper,TC006649
Climacteris picumnus,Brown Treecreeper,TC006650
Climacteris melanurus,Black-tailed Treecreeper,TC006651
Climacteris rufus,Rufous Treecreeper,TC006652
Amytornis barbatus,Gray Grasswren,TC006689
Amytornis striatus,Striated Grasswren,TC006683
Amytornis woodwardi,White-throated Grasswren,TC006686
Amytornis dorotheae,Carpentarian Grasswren,TC006687
Amytornis merrotsyi,Short-tailed Grasswren,TC006688
Amytornis textilis,Thick-billed Grasswren,TC006676
Amytornis housei,Black Grasswren,TC006682
Amytornis goyderi,Eyrean Grasswren,TC006690
Amytornis purnelli,Dusky Grasswren,TC006680
Amytornis ballarae,Kalkadoon Grasswren,TC006681
Stipiturus malachurus,Southern Emuwren,TC006673
Stipiturus ruficeps,Rufous-crowned Emuwren,TC006674
Stipiturus mallee,Mallee Emuwren,TC006675
Sipodotus wallacii,Wallace's Fairywren,TC006654
Clytomyias insignis,Orange-crowned Fairywren,TC006653
Chenorhamphus grayi,Broad-billed Fairywren,TC006655
Chenorhamphus campbelli,Campbell's Fairywren,TC012318
Malurus cyanocephalus,Emperor Fairywren,TC006671
Malurus coronatus,Purple-crowned Fairywren,TC006670
Malurus elegans,Red-winged Fairywren,TC006668
Malurus pulcherrimus,Blue-breasted Fairywren,TC006669
Malurus lamberti,Variegated Fairywren,TC006663
Malurus amabilis,Lovely Fairywren,TC006667
Malurus splendens,Splendid Fairywren,TC006662
Malurus cyaneus,Superb Fairywren,TC006661
Malurus leucopterus,White-winged Fairywren,TC006658
Malurus melanocephalus,Red-backed Fairywren,TC006657
Malurus alboscapulatus,White-shouldered Fairywren,TC006656
Acanthorhynchus tenuirostris,Eastern Spinebill,TC006691
Acanthorhynchus superciliosus,Western Spinebill,TC006692
Certhionyx variegatus,Pied Honeyeater,TC006693
Pycnopygius ixoides,Plain Honeyeater,TC006694
Pycnopygius cinereus,Marbled Honeyeater,TC006695
Pycnopygius stictocephalus,Streak-headed Honeyeater,TC006696
Melitograis gilolensis,White-streaked Friarbird,TC006697
Prosthemadera novaeseelandiae,Tui,TC006698
Meliphaga montana,Forest Honeyeater,TC006699
Meliphaga mimikae,Spot-breasted Meliphaga,TC006700
Meliphaga orientalis,Mountain Meliphaga,TC006701
Meliphaga albonotata,Scrub Honeyeater,TC006702
Meliphaga aruensis,Puff-backed Honeyeater,TC006703
Meliphaga analoga,Mimic Honeyeater,TC006704
Meliphaga vicina,Tagula Honeyeater,TC006705
Meliphaga gracilis,Graceful Honeyeater,TC006706
Meliphaga notata,Yellow-spotted Honeyeater,TC006707
Meliphaga flavirictus,Yellow-gaped Honeyeater,TC006708
Meliphaga lewinii,Lewin's Honeyeater,TC006709
Meliphaga albilineata,White-lined Honeyeater,TC006710
Meliphaga fordiana,Kimberley Honeyeater,TC006711
Meliphaga reticulata,Streak-breasted Honeyeater,TC006712
Lichenostomus subfrenatus,Black-throated Honeyeater,TC006714
Lichenostomus obscurus,Obscure Honeyeater,TC006715
Lichenostomus frenatus,Bridled Honeyeater,TC006716
Lichenostomus hindwoodi,Eungella Honeyeater,TC006717
Lichenostomus chrysops,Yellow-faced Honeyeater,TC006718
Lichenostomus versicolor,Varied Honeyeater,TC006719
Lichenostomus fasciogularis,Mangrove Honeyeater,TC006720
Lichenostomus virescens,Singing Honeyeater,TC006721
Lichenostomus flavus,Yellow Honeyeater,TC006722
Lichenostomus unicolor,White-gaped Honeyeater,TC006723
Lichenostomus leucotis,White-eared Honeyeater,TC006724
Lichenostomus flavicollis,Yellow-throated Honeyeater,TC006725
Lichenostomus melanops,Yellow-tufted Honeyeater,TC006726
Lichenostomus cratitius,Purple-gaped Honeyeater,TC006729
Lichenostomus keartlandi,Gray-headed Honeyeater,TC006730
Lichenostomus flavescens,Yellow-tinted Honeyeater,TC006731
Lichenostomus fuscus,Fuscous Honeyeater,TC006732
Lichenostomus plumulus,Gray-fronted Honeyeater,TC006733
Lichenostomus ornatus,Yellow-plumed Honeyeater,TC006734
Lichenostomus penicillatus,White-plumed Honeyeater,TC006735
Purnella albifrons,White-fronted Honeyeater,TC006737
Guadalcanaria inexpectata,Guadalcanal Honeyeater,TC006738
Oreornis chrysogenys,Orange-cheeked Honeyeater,TC006739
Manorina melanophrys,Bell Miner,TC006740
Manorina melanocephala,Noisy Miner,TC006741
Manorina flavigula,Yellow-throated Miner,TC006742
Manorina melanotis,Black-eared Miner,TC006743
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,TC006744
Anthochaera carunculata,Red Wattlebird,TC006745
Anthochaera chrysoptera,Little Wattlebird,TC006746
Anthochaera lunulata,Western Wattlebird,TC006747
Anthochaera paradoxa,Yellow Wattlebird,TC006748
Anthochaera phrygia,Regent Honeyeater,TC006749
Ramsayornis modestus,Brown-backed Honeyeater,TC006751
Ramsayornis fasciatus,Bar-breasted Honeyeater,TC006752
Conopophila albogularis,Rufous-banded Honeyeater,TC006753
Conopophila rufogularis,Rufous-throated Honeyeater,TC006754
Conopophila whitei,Gray Honeyeater,TC006755
Epthianura tricolor,Crimson Chat,TC006756
Epthianura aurifrons,Orange Chat,TC006757
Epthianura crocea,Yellow Chat,TC006758
Epthianura albifrons,White-fronted Chat,TC006759
Ashbyia lovensis,Gibber Chat,TC006760
Sugomel niger,Black Honeyeater,TC006761
Myzomela blasii,Seram Myzomela,TC006762
Myzomela albigula,White-chinned Myzomela,TC006763
Myzomela eques,Red-throated Myzomela,TC006764
Myzomela cineracea,Ashy Myzomela,TC006765
Myzomela obscura,Dusky Myzomela,TC006766
Myzomela cruentata,Red Myzomela,TC006767
Myzomela nigrita,Black Myzomela,TC006768
Myzomela pulchella,New Ireland Myzomela,TC006769
Myzomela kuehni,Crimson-hooded Myzomela,TC006770
Myzomela erythrocephala,Red-headed Myzomela,TC006771
Myzomela dammermani,Sumba Myzomela,TC006772
Myzomela adolphinae,Mountain Myzomela,TC006773
Myzomela chloroptera,Sulawesi Myzomela,TC006774
Myzomela wakoloensis,Wakolo Myzomela,TC006775
Myzomela boiei,Banda Myzomela,TC006776
Myzomela caledonica,New Caledonian Myzomela,TC006777
Myzomela sanguinolenta,Scarlet Myzomela,TC006778
Myzomela rubratra,Micronesian Myzomela,TC006779
Myzomela cardinalis,Cardinal Myzomela,TC006780
Myzomela chermesina,Rotuma Myzomela,TC006781
Myzomela sclateri,Scarlet-bibbed Myzomela,TC006782
Myzomela pammelaena,Ebony Myzomela,TC006783
Myzomela lafargei,Scarlet-naped Myzomela,TC006784
Myzomela eichhorni,Yellow-vented Myzomela,TC006785
Myzomela malaitae,Red-bellied Myzomela,TC006786
Myzomela melanocephala,Black-headed Myzomela,TC006787
Myzomela tristrami,Sooty Myzomela,TC006788
Myzomela jugularis,Orange-breasted Myzomela,TC006789
Myzomela erythromelas,Black-bellied Myzomela,TC006790
Myzomela vulnerata,Black-breasted Myzomela,TC006791
Myzomela rosenbergii,Red-collared Myzomela,TC006792
Glycichaera fallax,Green-backed Honeyeater,TC006794
Gliciphila melanops,Tawny-crowned Honeyeater,TC006795
Cissomela pectoralis,Banded Honeyeater,TC006796
Anthornis melanura,New Zealand Bellbird,TC006797
Lichmera lombokia,Sunda Honeyeater,TC006798
Lichmera argentauris,Olive Honeyeater,TC006799
Lichmera indistincta,Brown Honeyeater,TC006800
Lichmera limbata,Indonesian Honeyeater,TC006801
Lichmera incana,Dark-brown Honeyeater,TC006802
Lichmera squamata,White-tufted Honeyeater,TC006803
Lichmera alboauricularis,Silver-eared Honeyeater,TC006804
Lichmera deningeri,Buru Honeyeater,TC006805
Lichmera monticola,Seram Honeyeater,TC006806
Lichmera flavicans,Yellow-eared Honeyeater,TC006807
Lichmera notabilis,Black-chested Honeyeater,TC006808
Phylidonyris pyrrhopterus,Crescent Honeyeater,TC006809
Phylidonyris novaehollandiae,New Holland Honeyeater,TC006810
Phylidonyris niger,White-cheeked Honeyeater,TC006811
Phylidonyris undulatus,Barred Honeyeater,TC006812
Phylidonyris notabilis,New Hebrides Honeyeater,TC006813
Trichodere cockerelli,White-streaked Honeyeater,TC006814
Foulehaio carunculatus,Wattled Honeyeater,TC006815
Gymnomyza viridis,Giant Honeyeater,TC006816
Gymnomyza samoensis,Mao,TC006817
Gymnomyza aubryana,Crow Honeyeater,TC006818
Melithreptus lunatus,White-naped Honeyeater,TC006819
Melithreptus affinis,Black-headed Honeyeater,TC006822
Melithreptus albogularis,White-throated Honeyeater,TC006823
Melithreptus gularis,Black-chinned Honeyeater,TC006824
Melithreptus validirostris,Strong-billed Honeyeater,TC006827
Melithreptus brevirostris,Brown-headed Honeyeater,TC006828
Entomyzon cyanotis,Blue-faced Honeyeater,TC006829
Philemon meyeri,Meyer's Friarbird,TC006830
Philemon inornatus,Timor Friarbird,TC006831
Philemon kisserensis,Gray Friarbird,TC006832
Philemon brassi,Brass's Friarbird,TC006833
Philemon fuscicapillus,Dusky Friarbird,TC006834
Philemon citreogularis,Little Friarbird,TC006835
Philemon moluccensis,Black-faced Friarbird,TC006836
Philemon subcorniculatus,Seram Friarbird,TC006837
Philemon buceroides,Helmeted Friarbird,TC006838
Philemon albitorques,White-naped Friarbird,TC006839
Philemon cockerelli,New Britain Friarbird,TC006840
Philemon eichhorni,New Ireland Friarbird,TC006841
Philemon argenticeps,Silver-crowned Friarbird,TC006842
Philemon corniculatus,Noisy Friarbird,TC006843
Philemon diemenensis,New Caledonian Friarbird,TC006844
Xanthotis flaviventer,Tawny-breasted Honeyeater,TC006845
Xanthotis polygrammus,Spotted Honeyeater,TC006846
Xanthotis macleayanus,Macleay's Honeyeater,TC006847
Xanthotis provocator,Kandavu Honeyeater,TC006848
Plectorhyncha lanceolata,Striped Honeyeater,TC006849
Grantiella picta,Painted Honeyeater,TC006850
Timeliopsis fulvigula,Olive Straightbill,TC006851
Timeliopsis griseigula,Tawny Straightbill,TC006852
Melilestes megarhynchus,Long-billed Honeyeater,TC006853
Stresemannia bougainvillei,Bougainville Honeyeater,TC006854
Melipotes gymnops,Arfak Honeyeater,TC006855
Melipotes fumigatus,Smoky Honeyeater,TC006856
Melipotes carolae,Wattled Smoky Honeyeater,TC006857
Melipotes ater,Spangled Honeyeater,TC006858
Macgregoria pulchra,Macgregor's Honeyeater,TC006859
Melidectes fuscus,Sooty Melidectes,TC006860
Melidectes whitemanensis,Bismarck Melidectes,TC006861
Melidectes nouhuysi,Short-bearded Melidectes,TC006862
Melidectes princeps,Long-bearded Melidectes,TC006863
Melidectes ochromelas,Cinnamon-browed Melidectes,TC006864
Melidectes leucostephes,Vogelkop Melidectes,TC006865
Melidectes belfordi,Belford's Melidectes,TC006866
Melidectes rufocrissalis,Yellow-browed Melidectes,TC006867
Melidectes foersteri,Huon Melidectes,TC006868
Melidectes torquatus,Ornate Melidectes,TC006869
Melidectes sclateri,San Cristobal Melidectes,TC006870
Ptiloprora plumbea,Leaden Honeyeater,TC006871
Ptiloprora meekiana,Olive-streaked Honeyeater,TC006872
Ptiloprora erythropleura,Rufous-sided Honeyeater,TC006873
Ptiloprora mayri,Mayr's Honeyeater,TC006874
Ptiloprora guisei,Rufous-backed Honeyeater,TC006875
Ptiloprora perstriata,Black-backed Honeyeater,TC006876
Myza celebensis,Dark-eared Myza,TC006877
Myza sarasinorum,White-eared Myza,TC006878
Dasyornis longirostris,Western Bristlebird,TC006879
Dasyornis brachypterus,Eastern Bristlebird,TC006880
Dasyornis broadbenti,Rufous Bristlebird,TC006881
Pardalotus punctatus,Spotted Pardalote,TC006882
Pardalotus quadragintus,Forty-spotted Pardalote,TC006883
Pardalotus rubricatus,Red-browed Pardalote,TC006884
Pardalotus striatus,Striated Pardalote,TC006885
Pachycare flavogriseum,Goldenface,TC007270
Pycnoptilus floccosus,Pilotbird,TC006891
Origma solitaria,Rockwarbler,TC006892
Oreoscopus gutturalis,Fernwren,TC006893
Crateroscelis murina,Rusty Mouse-Warbler,TC006894
Crateroscelis nigrorufa,Bicolored Mouse-Warbler,TC006895
Crateroscelis robusta,Mountain Mouse-Warbler,TC006896
Sericornis citreogularis,Yellow-throated Scrubwren,TC006897
Sericornis frontalis,White-browed Scrubwren,TC006898
Sericornis humilis,Tasmanian Scrubwren,TC006902
Sericornis keri,Atherton Scrubwren,TC006903
Sericornis beccarii,Tropical Scrubwren,TC006904
Sericornis virgatus,Perplexing Scrubwren,TC006905
Sericornis nouhuysi,Large Scrubwren,TC006906
Sericornis magnirostra,Large-billed Scrubwren,TC006907
Sericornis rufescens,Vogelkop Scrubwren,TC006908
Sericornis perspicillatus,Buff-faced Scrubwren,TC006909
Sericornis papuensis,Papuan Scrubwren,TC006910
Sericornis arfakianus,Gray-green Scrubwren,TC006911
Sericornis spilodera,Pale-billed Scrubwren,TC006912
Acanthornis magna,Scrubtit,TC006914
Pyrrholaemus brunneus,Redthroat,TC006915
Pyrrholaemus sagittatus,Speckled Warbler,TC006916
Calamanthus campestris,Rufous Fieldwren,TC006917
Calamanthus fuliginosus,Striated Fieldwren,TC006918
Hylacola pyrrhopygia,Chestnut-rumped Heathwren,TC006919
Hylacola cauta,Shy Heathwren,TC006920
Acanthiza murina,Papuan Thornbill,TC006921
Acanthiza reguloides,Buff-rumped Thornbill,TC006922
Acanthiza inornata,Western Thornbill,TC006923
Acanthiza iredalei,Slender-billed Thornbill,TC006924
Acanthiza katherina,Mountain Thornbill,TC006925
Acanthiza pusilla,Brown Thornbill,TC006926
Acanthiza ewingii,Tasmanian Thornbill,TC006927
Acanthiza apicalis,Inland Thornbill,TC006928
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,TC006929
Acanthiza uropygialis,Chestnut-rumped Thornbill,TC006930
Acanthiza robustirostris,Slaty-backed Thornbill,TC006931
Acanthiza nana,Yellow Thornbill,TC006932
Acanthiza lineata,Striated Thornbill,TC006933
Smicrornis brevirostris,Weebill,TC006935
Gerygone cinerea,Mountain Gerygone,TC006936
Gerygone chloronota,Green-backed Gerygone,TC006937
Gerygone palpebrosa,Fairy Gerygone,TC006938
Gerygone hypoxantha,Biak Gerygone,TC006941
Gerygone olivacea,White-throated Gerygone,TC006942
Gerygone chrysogaster,Yellow-bellied Gerygone,TC006943
Gerygone magnirostris,Large-billed Gerygone,TC006944
Gerygone tenebrosa,Dusky Gerygone,TC006945
Gerygone mouki,Brown Gerygone,TC006946
Gerygone sulphurea,Golden-bellied Gerygone,TC006947
Gerygone inornata,Plain Gerygone,TC006948
Gerygone dorsalis,Rufous-sided Gerygone,TC006949
Gerygone ruficollis,Brown-breasted Gerygone,TC006950
Gerygone fusca,Western Gerygone,TC006951
Gerygone levigaster,Mangrove Gerygone,TC006952
Gerygone modesta,Norfolk Island Gerygone,TC006953
Gerygone insularis,Lord Howe Gerygone,TC006954
Gerygone igata,Gray Gerygone,TC006955
Gerygone albofrontata,Chatham Island Gerygone,TC006956
Gerygone flavolateralis,Fan-tailed Gerygone,TC006957
Aphelocephala leucopsis,Southern Whiteface,TC006959
Aphelocephala pectoralis,Chestnut-breasted Whiteface,TC006960
Aphelocephala nigricincta,Banded Whiteface,TC006961
Pomatostomus isidorei,New Guinea Babbler,TC006962
Pomatostomus temporalis,Gray-crowned Babbler,TC006963
Pomatostomus superciliosus,White-browed Babbler,TC006964
Pomatostomus halli,Hall's Babbler,TC006965
Pomatostomus ruficeps,Chestnut-crowned Babbler,TC006966
Orthonyx novaeguineae,Northern Logrunner,TC006967
Orthonyx temminckii,Australian Logrunner,TC006968
Orthonyx spaldingii,Chowchilla,TC006969
Cnemophilus loriae,Loria's Satinbird,TC006970
Cnemophilus macgregorii,Crested Satinbird,TC006971
Loboparadisea sericea,Yellow-breasted Satinbird,TC006972
Melanocharis arfakiana,Obscure Berrypecker,TC006973
Melanocharis nigra,Black Berrypecker,TC006974
Melanocharis longicauda,Lemon-breasted Berrypecker,TC006975
Melanocharis versteri,Fan-tailed Berrypecker,TC006976
Melanocharis striativentris,Streaked Berrypecker,TC006977
Melanocharis crassirostris,Spotted Berrypecker,TC006978
Toxorhamphus novaeguineae,Yellow-bellied Longbill,TC006979
Toxorhamphus poliopterus,Slaty-chinned Longbill,TC006980
Toxorhamphus iliolophus,Dwarf Honeyeater,TC006981
Toxorhamphus pygmaeum,Pygmy Honeyeater,TC006982
Oreocharis arfaki,Tit Berrypecker,TC006983
Paramythia montium,Crested Berrypecker,TC006984
Callaeas cinereus,Kokako,TC006985
Philesturnus carunculatus,Saddleback,TC006988
Heteralocha acutirostris,Huia,TC006991
Notiomystis cincta,Stitchbird,TC006992
Androphobus viridis,Papuan Whipbird,TC006993
Psophodes olivaceus,Eastern Whipbird,TC006994
Psophodes nigrogularis,Western Whipbird,TC006995
Psophodes occidentalis,Chiming Wedgebill,TC006996
Psophodes cristatus,Chirruping Wedgebill,TC006997
Cinclosoma punctatum,Spotted Quail-thrush,TC006998
Cinclosoma castanotum,Chestnut Quail-thrush,TC006999
Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush,TC007000
Cinclosoma marginatum,Western Quail-thrush,TC007001
Cinclosoma cinnamomeum,Cinnamon Quail-thrush,TC007003
Cinclosoma alisteri,Nullarbor Quail-Thrush,TC013057
Cinclosoma ajax,Painted Quail-thrush,TC007004
Ptilorrhoa leucosticta,Spotted Jewel-babbler,TC007005
Ptilorrhoa caerulescens,Blue Jewel-babbler,TC007006
Ptilorrhoa castanonota,Chestnut-backed Jewel-babbler,TC007007
Lanioturdus torquatus,White-tailed Shrike,TC007038
Platysteira cyanea,Brown-throated Wattle-eye,TC007010
Platysteira albifrons,White-fronted Wattle-eye,TC007011
Platysteira peltata,Black-throated Wattle-eye,TC007012
Platysteira laticincta,Banded Wattle-eye,TC007013
Platysteira castanea,Chestnut Wattle-eye,TC007014
Platysteira hormophora,West African Wattle-eye,TC013603
Platysteira tonsa,White-spotted Wattle-eye,TC007015
Platysteira blissetti,Red-cheeked Wattle-eye,TC007016
Platysteira chalybea,Black-necked Wattle-eye,TC007017
Platysteira jamesoni,Jameson's Wattle-eye,TC007018
Platysteira concreta,Yellow-bellied Wattle-eye,TC007019
Batis margaritae,Boulton's Batis,TC007020
Batis mixta,Short-tailed Batis,TC007021
Batis crypta,Dark Batis,TC012439
Batis diops,Ruwenzori Batis,TC007022
Batis capensis,Cape Batis,TC007023
Batis fratrum,Woodward's Batis,TC007024
Batis molitor,Chinspot Batis,TC007025
Batis soror,Pale Batis,TC007026
Batis pririt,Pririt Batis,TC007027
Batis senegalensis,Senegal Batis,TC007028
Batis orientalis,Gray-headed Batis,TC007029
Batis minor,Black-headed Batis,TC007030
Batis perkeo,Pygmy Batis,TC007031
Batis minima,Verreaux's Batis,TC007032
Batis ituriensis,Ituri Batis,TC007033
Batis poensis,Fernando Po Batis,TC007034
Batis occulta,West African Batis,TC007035
Batis minulla,Angola Batis,TC007036
Prionops plumatus,White Helmetshrike,TC007039
Prionops poliolophus,Gray-crested Helmetshrike,TC007040
Prionops alberti,Yellow-crested Helmetshrike,TC007041
Prionops caniceps,Red-billed Helmetshrike,TC007042
Prionops rufiventris,Rufous-bellied Helmetshrike,TC007043
Prionops retzii,Retz's Helmetshrike,TC007044
Prionops gabela,Angola Helmetshrike,TC007045
Prionops scopifrons,Chestnut-fronted Helmetshrike,TC007046
Megabyas flammulatus,African Shrike-flycatcher,TC007008
Bias musicus,Black-and-white Shrike-flycatcher,TC007009
Tephrodornis sylvicola,Malabar Woodshrike,TC012622
Tephrodornis gularis,Large Woodshrike,TC007047
Tephrodornis pondicerianus,Common Woodshrike,TC007048
Tephrodornis affinis,Sri Lanka Woodshrike,TC012807
Hemipus picatus,Bar-winged Flycatcher-shrike,TC007251
Hemipus hirundinaceus,Black-winged Flycatcher-shrike,TC007252
Philentoma pyrhoptera,Rufous-winged Philentoma,TC007049
Philentoma velata,Maroon-breasted Philentoma,TC007050
Newtonia archboldi,Archbold's Newtonia,TC007105
Newtonia brunneicauda,Common Newtonia,TC007104
Newtonia amphichroa,Dark Newtonia,TC007103
Newtonia fanovanae,Red-tailed Newtonia,TC007106
Tylas eduardi,Tylas Vanga,TC007102
Calicalicus madagascariensis,Red-tailed Vanga,TC007109
Calicalicus rufocarpalis,Red-shouldered Vanga,TC007110
Hypositta corallirostris,Nuthatch-Vanga,TC007111
Leptopterus chabert,Chabert Vanga,TC007107
Mystacornis crossleyi,Crossley's Vanga,TC007122
Cyanolanius madagascarinus,Blue Vanga,TC007108
Vanga curvirostris,Hook-billed Vanga,TC007112
Pseudobias wardi,Ward's Flycatcher,TC007121
Schetba rufa,Rufous Vanga,TC007114
Euryceros prevostii,Helmet Vanga,TC007113
Oriolia bernieri,Bernier's Vanga,TC007116
Falculea palliata,Sickle-billed Vanga,TC007115
Artamella viridis,White-headed Vanga,TC007117
Xenopirostris polleni,Pollen's Vanga,TC007120
Xenopirostris xenopirostris,Lafresnaye's Vanga,TC007118
Xenopirostris damii,Van Dam's Vanga,TC007119
Nilaus afer,Brubru,TC007051
Dryoscopus gambensis,Northern Puffback,TC007052
